Version,GDH,GITC,Na Cit (pH 5.00),Na Cit (pH 5.50),Na Cit (pH 6.11),Na Cit (pH 6.50),Na Cit (pH 8.5),Na Cit (pH 11),Na Cit (pH 11.5),EDTA,IGEPAL,SDS 20%,IPA,Water,NaI 6M,NaI 8M,NaI 8M + thiosulfate,NaI 9M,NaI 10M,LiCl,CaCl2,PEG 8000,PEG 6000,PEG 3350,PEG 1000,PEG 400,TCEP,Phosphate Citrate 0.2M pH 7.8,Phosphate Citrate 0.2M pH 10,Bead Number,Bead Quantity,CTAB 10%,Citric Acid,Phosphate Citrate 1M pH 5,Phosphate Citrate 1M pH 7.8,Phosphate Citrate 1M pH 9,Phosphate Citrate 1M pH 10,NaCl 5M,sodium sulfite (g),sodium acetate 3M,Ammonium Sulfate 8M,Ammonium Sulfate 1M,Ammonium Chloride 4M,Magnesium Chloride 2mM,CDTA 0.5M pH 7
V25,1.875,0,0,0,0.125,0,0,0,0,0,0,0.2,0.0625,0.1875,0,0,0,0,0,2.5,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V26,1.875,0,0,0,0.125,0,0,0,0,0,0,0.1,0.047,0.188,0,0,0,0,0,2.5,0.116,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V27,1.875,0,0,0,0.125,0,0,0,0,0,0,0.1,0.078,0.188,0,0,0,0,0,2.5,0.084,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V28,1.875,0,0,0,0.125,0,0,0,0,0,0,0.1,0.094,0.188,0,0,0,0,0,2.5,0.069,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V29,1.875,0,0,0,0.125,0,0,0,0,0,0,0.1,0.063,0.141,0,0,0,0,0,2.5,0.147,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V30,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.234,2.5,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V31,1.875,0,0,0,0.125,0,0,0,0,0.1,0.063,0.281,2.5,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V32,1.875,0,0,0,0.125,0,0,0,0,0.1,0.047,0.141,2.5,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V33,1.875,0,0,0,0.125,0,0,0,0,0.1,0.078,0.234,2.5,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V34,1.875,0,0,0,0.125,0,0,0,0,0.1,0.094,0.281,2.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
